,economy,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
104794,Philippines,0.315483744791854,1,18.0,2,2,2.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,1,2.0,1.0,,1,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,2,4.0,1.0,,1,0,4,4,4,4.0,4,5.0,2,1,0,0.0,2021
104795,Philippines,1.56544016414455,2,30.0,2,4,1.0,,1,1,0.0,1.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,4,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,1.0,2.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,0,1,4,4,4.0,2,5.0,1,1,1,0.0,2021
104796,Philippines,2.01532160454922,2,61.0,2,2,1.0,,1,1,1.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2,,,2,2,2,,,,2,2,2.0,2.0,1,2,1,,2,1.0,2.0,2.0,,,,1.0,1.0,,,2,,,,,,2,,,,,,,1,1,1.0,2.0,,,2.0,,,,,,2,2,2,2,4.0,1.0,,0,1,4,1,1,4.0,4,1.0,1,2,1,0.0,2021
104797,Philippines,0.266541209339157,1,36.0,2,2,2.0,,1,1,0.0,,,1,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2.0,1,2,2,,4,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,2,1,1.0,1.0,,1,1,4,4,4,4.0,3,5.0,1,1,0,0.0,2021
104798,Philippines,1.07306162469527,2,45.0,3,4,1.0,,1,1,0.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,1.0,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2.0,2,2,2,,3,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,1.0,2.0,2.0,1.0,,,1,2,2.0,2.0,1.0,,2.0,,,,,,2,1,2,2,3.0,2.0,,1,0,2,2,4,4.0,2,5.0,1,1,0,0.0,2021
104799,Philippines,0.725510846282893,2,24.0,3,2,1.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,2,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,2,,,,,,2,,,,,,,1,2,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,2,1,1,1,3.0,1.0,,1,1,4,2,4,2.0,4,2.0,1,1,0,0.0,2021
104800,Philippines,0.619913754373545,1,30.0,2,1,2.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,1,2.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,2.0,1.0,,1,1,4,4,4,4.0,2,5.0,1,1,0,0.0,2021
104801,Philippines,3.59034181995605,1,15.0,1,3,2.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,0,0,4,4,4,4.0,4,5.0,1,1,0,0.0,2021
104802,Philippines,1.23835839261152,2,27.0,2,1,1.0,,1,1,1.0,2.0,2.0,1,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1,2.0,,1,2,1,1.0,2.0,,1,1,2.0,2.0,2,2,2,,1,3.0,3.0,2.0,,,,2.0,,,,1,1.0,1.0,2.0,,,2,,,,,,,2,2,,,,,2.0,,,,,,3,3,3,2,,3.0,,1,1,4,4,4,4.0,1,5.0,1,1,1,1.0,2021
104803,Philippines,1.23835839261152,2,31.0,3,3,1.0,,1,1,1.0,,,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1,2.0,,1,2,1,3.0,1.0,,1,1,1.0,2.0,1,2,2,,1,2.0,1.0,2.0,,,,2.0,,,,1,2.0,1.0,2.0,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,1,2,3.0,1.0,,1,1,4,4,4,4.0,1,5.0,1,1,1,1.0,2021
104804,Philippines,0.756310090719537,1,32.0,2,3,1.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,5,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,2.0,2.0,1.0,,1.0,1.0,2.0,2.0,1.0,,1,1,1,2,2.0,1.0,,1,1,4,2,4,2.0,4,5.0,1,1,0,0.0,2021
104805,Philippines,2.29750653870598,2,15.0,1,2,2.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,1,2,,2.0,2,2,1,,2,2.0,1.0,2.0,,,,1.0,2.0,2.0,1.0,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,1,1,4,4,4,4.0,2,2.0,1,1,0,0.0,2021
104806,Philippines,3.59034181995605,2,68.0,1,4,2.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,3.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,3.0,2.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
104807,Philippines,2.58081249283703,2,62.0,2,3,1.0,,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,1,2.0,1.0,,1,2,,2.0,1,2,1,,2,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,1,2,2.0,2.0,1.0,,2.0,,,,,,1,1,2,2,2.0,3.0,,1,1,2,2,4,4.0,2,5.0,1,2,0,0.0,2021
104808,Philippines,1.3609351866919,2,29.0,1,1,1.0,,1,1,0.0,2.0,2.0,2,,,1.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,1,2.0,1.0,,2,2,,2.0,1,1,1,,4,3.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,2.0,2.0,1.0,,2.0,,,,,,2,1,2,3,3.0,3.0,,0,1,4,2,4,4.0,4,5.0,1,1,1,0.0,2021
104809,Philippines,0.375904030023952,2,31.0,2,3,1.0,,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2,,,2,2,2,,,,1,2,2.0,2.0,2,2,2,,3,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,2,1,2,2,2.0,1.0,,1,0,2,4,4,4.0,2,5.0,1,1,1,0.0,2021
104810,Philippines,0.168433105960408,1,32.0,3,4,2.0,,1,1,0.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,1,2.0,,1,1,1,2.0,2.0,,2,2,,2.0,1,2,1,,2,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1,1.0,1.0,2.0,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,1,1,4,4,4,4.0,1,1.0,1,1,1,1.0,2021
